date,number_week,rank,name,symbol,market_cap,price,circulating_supply,volume,%_1h,%_24h,%_7d
2017-01-08,1,79,Primecoin,XPM,907382.0,0.05181,17514511,0.05181,0.16,-1.66,2.54
2017-01-08,1,80,Burst,BURST,883870.0,0.0005274,1675741738,0.0005274,0.35,0.84,-3.19
2017-01-08,1,81,BitBay,BAY,873006.0,0.0008669,1007052860,0.0008669,-0.71,4.69,-11.93
2017-01-08,1,82,Feathercoin,FTC,867430.0,0.005861,148004840,0.005861,4.11,3.53,-4.82
2017-01-08,1,83,CloakCoin,CLOAK,854351.0,0.1761,4851186,0.1761,-0.29,-3.61,-5.54
2017-01-08,1,84,Creditbit,CRB,839477.0,0.06732,12470149,0.06732,-0.16,15.41,354.76
2017-01-08,1,85,Boolberry,BBR,822662.0,0.09364,8785313,0.09364,2.39,2.08,5.24
2017-01-08,1,86,Adzcoin,ADZ,819151.0,0.01604,51082160,0.01604,-0.27,0.00,18.74
2017-01-08,1,87,Viacoin,VIA,818946.0,0.03674,22288443,0.03674,5.2,18.28,11.07
2017-01-08,1,88,Nexium,NXC,744101.0,0.01444,51521586,0.01444,-0.03,8.24,2.60
2017-01-08,1,89,TrumpCoin,TRUMP,731460.0,0.112,6528501,0.112,-0.71,1.76,68.26
2017-01-08,1,90,VeriCoin,VRC,717893.0,0.02402,29890864,0.02402,0.29,16.00,2.92
2017-01-08,1,91,DigitalNote,XDN,712282.0,0.0001036,6873185969,0.0001036,-0.28,3.13,28.29
2017-01-08,1,92,Qora,QORA,640966.0,0.0000641,10000000000,0.0000641,-5.25,-0.50,-15.71
2017-01-08,1,93,HiCoin,XHI,635602.0,0.00335,189729990,0.00335,-4.55,10.44,-22.54
2017-01-08,1,94,GoldCoin,GLC,583384.0,0.01461,39917628,0.01461,-1.26,-5.61,-6.95
2017-01-08,1,95,Vcash,XVC,548695.0,0.03639,15077436,0.03639,-0.18,-4.14,-3.16
2017-01-08,1,96,NautilusCoin,NAUT,527361.0,0.03259,16180000,0.03259,4.25,4.66,-33.11
2017-01-08,1,97,Megacoin,MEC,514285.0,0.01564,32886450,0.01564,0.0,5.43,2.41
2017-01-08,1,98,Asiadigicoin,ADCN,487637.0,0.0556,8769863,0.0556,-0.14,-5.34,-8.92
2017-01-08,1,99,DNotes,NOTE,468925.0,0.004229,110895736,0.004229,5.08,8.66,4.24
2017-01-08,1,100,Gambit,GAM,465535.0,0.3458,1346369,0.3458,0.15,18.81,25.04
2017-01-08,1,101,FoldingCoin,FLDC,462512.0,0.00101,458083654,0.00101,1.59,3.13,-4.57
2017-01-08,1,102,DubaiCoin,DBIC,456428.0,0.07687,5937465,0.07687,-0.16,4.45,-2.32
2017-01-08,1,103,LBRY Credits,LBC,455307.0,0.01172,38859904,0.01172,-1.09,-1.09,12.91
2017-01-08,1,104,OKCash,OK,419103.0,0.006005,69792017,0.006005,-0.17,-4.12,-25.69
2017-01-08,1,105,PIVX,PIVX,418753.0,0.008311,50382984,0.008311,-0.16,8.30,18.48
2017-01-08,1,106,Infinitecoin,IFC,392632.0,0.000004334,90596274910,0.000004334,0.0,0.15,-12.20
2017-01-08,1,107,ZcCoin,ZCC,382451.0,0.006203,61657044,0.006203,0.0,2.73,6.90
2017-01-08,1,108,FLO,FLO,374183.0,0.003013,124197561,0.003013,-0.24,-3.62,-0.40
2017-01-08,1,109,Circuits of Value,COVAL,356690.0,0.0008917,400000000,0.0008917,-0.19,0.75,-9.14
2017-01-08,1,110,Rise,RISE,353305.0,0.00333,106098535,0.00333,-0.16,17.03,47.54
